Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2003,1,1,0,30,0,0,0,0,0,0,20,24.724445471558624,1014.4656982421875,75.11045178425563,175.06119671292333,1.550646991989003,0.0,345.289794921875,3.6430983543395996,0
2003,1,1,1,30,0,0,0,0,0,0,20,24.61484189136536,1014.1693725585938,76.40222144787005,167.97745573185583,1.5654529270230133,0.0,347.1422424316406,3.6510369777679443,0
2003,1,1,2,30,0,0,0,0,0,0,20,24.406326640610246,1013.7738647460938,78.8285145294398,154.40933809298878,1.5772188320014697,0.0,348.86029052734375,3.665459156036377,0
2003,1,1,3,30,0,0,0,0,0,0,20,24.19674647502336,1013.864013671875,81.68284054399095,140.62244152920053,1.5801843971600211,0.0,351.7775573730469,3.6591036319732666,0
2003,1,1,4,30,0,0,0,0,0,0,21,24.000413929771923,1014.1455078125,84.46424656184313,126.87561615612478,1.5848055780547845,0.0,355.0059814453125,3.653043746948242,0
2003,1,1,5,30,0,0,0,0,0,0,15,21.509966804841667,1014.395751953125,69.89628492064098,113.28676680096673,0.868770477971795,0.0,41.291778564453125,4.648024082183838,0
2003,1,1,6,30,0,0,0,0,0,0,15,21.28660023939068,1015.184814453125,70.1474933599597,99.90232667734077,0.8492869702179178,0.0,46.4584846496582,4.523490905761719,0
2003,1,1,7,30,14,0,14,19,57,22,14,21.371672404138963,1016.2211303710938,65.72520021188369,86.87601456923383,0.8288196186595832,0.0,51.66802978515625,4.377176761627197,0
2003,1,1,8,30,111,356,207,111,384,214,12,22.24209298012437,1017.0853881835938,52.37018698575171,74.42250422124054,0.8100887989365235,0.0,53.522056579589844,4.080688953399658,0
2003,1,1,9,30,162,559,417,163,573,424,10,24.377401608748755,1017.1060791015625,40.33322984968281,62.89159517039457,0.8317987517087344,0.0,53.449214935302734,3.665482521057129,0
2003,1,1,10,30,185,675,593,192,677,601,8,26.076834674621807,1016.1456298828125,33.03352561370254,52.90541961430433,0.8536600498827078,0.0,53.271480560302734,3.0714149475097656,0
2003,1,1,11,30,209,731,721,209,731,721,7,27.3792599926511,1014.6791381835938,28.663490026241355,45.50336452632933,0.873849849688623,0.0,51.1216926574707,2.3705830574035645,0
2003,1,1,12,30,215,751,772,215,751,772,6,28.357182301269575,1013.2595825195312,25.781581199125075,42.07895836811301,0.898874551467692,0.0,41.995323181152344,1.6572232246398926,0
2003,1,1,13,30,212,741,749,212,741,749,6,28.82123449701163,1011.86865234375,24.69938860241282,43.58285447363997,0.9343970753932915,0.0,15.403511047363281,1.191455364227295,0
2003,1,1,14,30,200,699,653,200,699,653,7,28.678942924608407,1011.0675048828125,25.509260697217467,49.567671226626025,0.9792483431773192,0.0,343.107177734375,1.3129128217697144,0
2003,1,1,15,30,175,609,492,176,616,496,7,28.06752986283061,1010.6614379882812,27.865623537349077,58.67453759017068,1.0222578871233547,0.0,327.74609375,1.7612727880477905,0
2003,1,1,16,30,162,380,294,134,465,296,9,27.01144547868205,1010.7534790039062,32.203446515733475,69.68461951016343,1.0759801237410274,0.0,319.31854248046875,2.3856759071350098,0
2003,1,1,17,30,60,50,68,60,194,87,12,25.98720108736262,1011.3681640625,43.172860225374755,81.82580119755843,1.1402671837112304,0.0,314.7134704589844,3.3087921142578125,0
2003,1,1,18,30,0,0,0,0,0,0,14,25.591094469211896,1011.9710083007812,50.87024013660096,94.6568178145175,1.212292148002013,0.0,316.6955871582031,4.080818176269531,0
2003,1,1,19,30,0,0,0,0,0,0,15,25.17196656846704,1012.828125,55.40690177042643,107.91869346961717,1.2922257894122782,0.0,320.4213562011719,4.494651794433594,0
2003,1,1,20,30,0,0,0,0,0,0,16,24.80686224868873,1012.9730834960938,59.757206410896245,121.45627554943565,1.3757520861261945,0.0,325.06781005859375,4.586191654205322,0
2003,1,1,21,30,0,0,0,0,0,0,17,24.523801767647967,1013.1978149414062,64.04639336319897,135.16503552615868,1.4739633104997703,0.0,330.5057373046875,4.500072002410889,0
2003,1,1,22,30,0,0,0,0,0,0,17,24.3553419500426,1012.7385864257812,67.37526337835308,148.95776403175245,1.5671981830657444,0.0,336.43701171875,4.264374732971191,0
2003,1,1,23,30,0,0,0,0,0,0,18,24.21377622344795,1012.3870239257812,69.58713829194365,162.69393025127215,1.6534448162743391,0.0,343.34735107421875,3.915024757385254,0
2003,1,2,0,30,0,0,0,0,0,0,18,24.013180589996466,1012.1739501953125,70.85366993607867,175.0644268477868,1.7304835583701033,0.0,352.2942199707031,3.4823811054229736,0
2003,1,2,1,30,0,0,0,0,0,0,18,23.782253911140856,1011.6406860351562,71.06998335001722,168.1367152924235,1.7947713811985821,0.0,5.3663177490234375,3.009929656982422,0
2003,1,2,2,30,0,0,0,0,0,0,17,23.543297464976092,1011.1852416992188,70.63583914092861,154.55173588120437,1.8504683980311882,0.0,23.54864501953125,2.594914436340332,0
2003,1,2,3,30,0,0,0,0,0,0,17,23.26253131765901,1011.0278930664062,70.46699734315028,140.75422982733355,1.8977549015792432,0.0,49.471466064453125,2.4131879806518555,0
2003,1,2,4,30,0,0,0,0,0,0,17,22.959098513303275,1011.3069458007812,71.02524433188358,126.99805483726965,1.9544480545789105,0.0,74.41271209716797,2.6593539714813232,0
2003,1,2,5,30,0,0,0,0,0,0,17,22.64687496848319,1011.9998779296875,72.37524951844554,113.37667841067,2.0268944546685104,0.0,90.89978790283203,3.081829071044922,0
2003,1,2,6,30,0,0,0,0,0,0,17,22.400068299475265,1013.0314331054688,73.93945456575278,99.98312643872183,2.1135421300449897,0.0,102.8412857055664,3.4602837562561035,0
2003,1,2,7,30,16,0,16,17,47,20,17,22.476987262884336,1014.2592163085938,71.9352412166,86.94556695940416,2.208329397092802,0.0,112.06629943847656,3.7096731662750244,0
2003,1,2,8,30,106,350,200,106,350,200,15,23.652925905119787,1015.1074829101562,59.77903780095972,74.47741371967179,2.305771433230597,0.0,120.51959228515625,3.4283292293548584,0
2003,1,2,9,30,158,534,401,158,534,401,14,25.954398124930094,1015.4698486328125,49.12063065321425,62.926423685014626,2.346282901006729,0.0,133.16615295410156,2.8427023887634277,0
2003,1,2,10,30,187,636,571,187,636,571,13,27.985720984595275,1015.1864624023438,41.26611898874406,52.912053918362695,2.3835753158526125,0.0,154.50485229492188,2.2467174530029297,0
2003,1,2,11,30,203,690,688,203,690,688,13,29.364622589597218,1014.5252075195312,36.701739707695324,45.47183246995702,2.4199468446728964,0.0,187.05584716796875,1.7747087478637695,0
2003,1,2,12,30,210,710,738,210,710,738,12,29.838842626265375,1013.4961547851562,35.52199027847915,42.00366217918459,2.447522361409009,0.0,227.72947692871094,1.7873257398605347,0
2003,1,2,13,30,207,701,716,207,701,716,13,29.592495459041913,1013.0419311523438,36.740428801902794,43.471617116843,2.4624450414497243,0.0,260.09033203125,2.332825183868408,0
2003,1,2,14,30,195,662,626,195,662,626,13,28.88172161917197,1012.4693603515625,39.362823446169045,49.43715223730022,2.4692832888982497,0.0,276.12744140625,2.8931238651275635,0
2003,1,2,15,30,171,581,475,171,581,475,14,27.895581543572916,1012.5922241210938,43.01641361220951,58.537705024277265,2.4933442645052755,0.0,285.8880615234375,3.313642740249634,0
2003,1,2,16,30,160,343,280,131,436,283,14,26.69167533687488,1012.951171875,48.11465103906457,69.54800373614695,2.5256785471887784,0.0,295.1005859375,3.6855738162994385,0
2003,1,2,17,30,60,40,66,58,179,84,15,25.47508239993141,1013.4013061523438,55.7896244620046,81.69216371800908,2.5766809864117066,0.0,305.6625061035156,4.1157379150390625,0
2003,1,2,18,30,0,0,0,0,0,0,17,24.927189536129333,1014.443359375,62.48096402419046,94.52726328790894,2.6512244193901213,0.0,316.6564636230469,4.440088748931885,0
2003,1,2,19,30,0,0,0,0,0,0,17,24.646264841935647,1015.1480102539062,65.21892917115395,107.7937802453244,2.740526574200024,0.0,327.474365234375,4.513599395751953,0
2003,1,2,20,30,0,0,0,0,0,0,17,24.4821374874939,1015.1513061523438,67.09759510251182,121.3364836085938,2.8287830799668825,0.0,339.17449951171875,4.301769256591797,0
2003,1,2,21,30,0,0,0,0,0,0,18,24.407661359435792,1014.8848266601562,68.20280782486523,135.05117544630957,2.8792067172242497,0.0,352.1482238769531,4.0513129234313965,0
2003,1,2,22,30,0,0,0,0,0,0,18,24.369539331646877,1014.5997924804688,68.67004318943177,148.85179729385965,2.916611698726573,0.0,4.427154541015625,3.8706092834472656,0
2003,1,2,23,30,0,0,0,0,0,0,18,24.359908136988565,1014.2942504882812,68.52584004347683,162.60297392422095,2.940293527055625,0.0,14.371826171875,3.8056108951568604,0
2003,1,3,0,30,0,0,0,0,0,0,18,24.392687576897345,1013.97412109375,67.79461604905671,175.07073630015094,2.9558022406555695,0.0,20.620323181152344,3.8496668338775635,0
2003,1,3,1,30,0,0,0,0,0,0,18,24.378973893210855,1013.6200561523438,67.82737422487773,168.26568579538701,2.970764698250063,0.0,24.263656616210938,3.914362907409668,0
2003,1,3,2,30,0,0,0,0,0,0,18,24.279070113694274,1012.9803466796875,68.61129667724437,154.66502780877664,2.9777306017598795,0.0,20.927223205566406,4.035455703735352,0
2003,1,3,3,30,0,0,0,0,0,0,18,24.145861836184793,1012.7357788085938,68.99343379296539,140.8580948489999,2.9784970331319123,0.0,18.500137329101562,4.234576225280762,0
2003,1,3,4,30,0,0,0,0,0,0,18,24.03784503240422,1012.9439697265625,69.21879413403929,127.09373294644524,2.9726847713464575,0.0,20.990676879882812,4.318948745727539,0
2003,1,3,5,30,0,0,0,0,0,0,18,23.917047760294963,1013.1044921875,69.91521730487771,113.46388719793109,2.9715222298925763,0.0,27.080883026123047,4.271073341369629,0
2003,1,3,6,30,0,0,0,0,0,0,18,23.800531471752436,1013.5701293945312,71.12932059540262,100.06066510075283,2.989031886707072,0.0,36.40043258666992,4.122622489929199,0
