Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2006,1,1,0,30,0,0,0,0,0,0,18,24.909679173646964,1014.0994262695312,69.3230723713288,175.06277384482087,1.6738012130531683,0.0,3.3782272338867188,3.8089873790740967,0
2006,1,1,1,30,0,0,0,0,0,0,18,24.78778298842849,1013.6217041015625,69.49044310163094,168.0106312171992,1.6765076605727414,0.0,9.060638427734375,3.7174861431121826,0
2006,1,1,2,30,0,0,0,0,0,0,18,24.58669327392846,1013.3214721679688,70.00930524098173,154.43889943970748,1.6800411509492634,0.0,9.374481201171875,3.883615493774414,0
2006,1,1,3,30,0,0,0,0,0,0,18,24.367952262193285,1013.0051879882812,71.01553403607376,140.64974012395703,1.6835010775714019,0.0,8.365020751953125,4.1131391525268555,0
2006,1,1,4,30,0,0,0,0,0,0,18,24.178286393829012,1013.2025756835938,72.11150595979085,126.9009259817595,1.6893447303086582,0.0,8.8948974609375,4.282738208770752,0
2006,1,1,5,30,0,0,0,0,0,0,19,23.717717884705735,1013.9259643554688,78.16137567374759,113.3098318528406,1.8912747556008622,0.0,30.465892791748047,1.7739797830581665,0
2006,1,1,6,30,0,0,0,0,0,0,19,23.577752783279152,1014.7076416015625,78.47205419614025,99.9229727783293,1.9123727812037978,0.0,37.02122116088867,1.6916654109954834,0
2006,1,1,7,30,19,0,19,20,66,23,19,23.666031080867867,1015.92333984375,77.71330293041777,86.89369605000132,1.9504783079282948,0.0,42.30168914794922,1.5919796228408813,0
2006,1,1,8,30,115,323,202,98,415,209,17,24.71708282530608,1016.7449951171875,62.238388602682996,74.43630600363264,1.991723564918189,0.0,42.429744720458984,1.4028263092041016,0
2006,1,1,9,30,140,603,415,140,603,415,14,26.909727634010608,1017.0862426757812,46.70574449784005,62.90010398316991,2.000081913963056,0.0,35.70116424560547,1.1096041202545166,0
