Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2007,1,1,0,30,0,0,0,0,0,0,18,24.795904224974265,1012.0365600585938,68.86673065567447,175.06281780297178,1.9492614422965557,0.0,352.44171142578125,3.8900394439697266,0
2007,1,1,1,30,0,0,0,0,0,0,19,24.584869308393763,1012.0230102539062,72.10014707116552,167.9792898239796,1.958426041389984,0.0,357.1866760253906,3.84480357170105,0
2007,1,1,2,30,0,0,0,0,0,0,19,24.344110893739924,1011.7420043945312,75.11751508038765,154.4105951468723,1.9603387138805237,0.0,4.146392822265625,3.805051565170288,0
2007,1,1,3,30,0,0,0,0,0,0,19,24.04393499716201,1011.8487548828125,77.77765120452263,140.62340445018415,1.966263082090646,0.0,12.118766784667969,3.8129138946533203,0
2007,1,1,4,30,0,0,0,0,0,0,19,23.774575163310942,1011.7787475585938,79.24407115717351,126.8763421733774,1.9587676050716916,0.0,19.596412658691406,3.8215324878692627,0
2007,1,1,5,30,0,0,0,0,0,0,18,23.98769114936573,1013.8519897460938,72.92742229709258,113.28724081716298,1.6890533743253766,0.0,11.346328735351562,4.330619812011719,0
2007,1,1,6,30,0,0,0,0,0,0,18,23.837105039132723,1014.6810913085938,72.82400143571267,99.90254579614674,1.6709036784277,0.0,15.866142272949219,4.2826828956604,0
2007,1,1,7,30,14,0,14,19,55,22,17,23.95553725147846,1015.5205078125,69.08175178685265,86.8759581917911,1.6344707586192024,0.0,21.978668212890625,4.148608207702637,0
2007,1,1,8,30,106,374,207,106,374,207,15,24.919372961937313,1016.3494873046875,55.68405583785844,74.4220718319753,1.5924068788386658,0.0,25.90625762939453,3.81514048576355,0
2007,1,1,9,30,157,562,413,157,562,413,13,26.883035546429653,1016.8185424804688,44.11376541778934,62.8907035920916,1.5478739140786222,0.0,23.193756103515625,3.6366145610809326,0
