Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2001,1,1,0,30,0,0,0,0,0,0,20,25.28022624995009,1014.9849243164062,73.56568608715158,175.0612283403627,2.1663748389996837,0.0,60.64704895019531,3.8550453186035156,0
2001,1,1,1,30,0,0,0,0,0,0,20,24.704589633627734,1014.991455078125,76.68923621812883,168.0402020677287,2.170560840462947,0.0,67.87450408935547,4.055434226989746,0
2001,1,1,2,30,0,0,0,0,0,0,20,24.150050018412628,1014.7423706054688,79.57759259612907,154.46592549161522,2.1663341794292488,0.0,72.79910278320312,4.159078121185303,0
2001,1,1,3,30,0,0,0,0,0,0,20,23.712890154316028,1014.8448486328125,81.84504390606956,140.67505498603765,2.163335470314023,0.0,78.07601165771484,4.205244541168213,0
2001,1,1,4,30,0,0,0,0,0,0,20,23.338182932456675,1015.1775512695312,84.40283760582898,126.92469848780357,2.1450945638427825,0.0,84.42095947265625,4.236199855804443,0
2001,1,1,5,30,0,0,0,0,0,0,19,23.999248115857768,1009.6066284179688,76.89614070554202,113.33183696783637,1.9218184241081844,0.0,346.1951904296875,3.9326977729797363,0
2001,1,1,6,30,0,0,0,0,0,0,19,23.900483874522877,1010.2263793945312,77.16266468177939,99.94304296047117,1.8345167294991578,0.0,353.1727294921875,3.999833583831787,0
2001,1,1,7,30,18,0,18,19,70,23,19,24.035423549064717,1011.181640625,74.43130662357525,86.91136031949789,1.7680461411335733,0.0,0.44474029541015625,4.026815414428711,0
2001,1,1,8,30,105,385,209,99,414,211,17,24.692108159190923,1012.1303100585938,64.99604172135061,74.45078321792765,1.7132847689838802,0.0,8.171104431152344,3.7801856994628906,0
2001,1,1,9,30,151,580,416,144,601,418,17,25.812671013276997,1012.6778564453125,58.336442914405794,62.91016457133067,1.6826396786477837,0.0,12.440422058105469,3.5269839763641357,0
2001,1,1,10,30,169,702,593,169,702,593,16,26.84125972040482,1012.4312133789062,52.26612798859506,52.910296253733335,1.63998719916017,0.0,12.100975036621094,3.264220714569092,0
2001,1,1,11,30,183,756,714,183,756,714,15,27.74953355385327,1011.7646484375,46.72735825586993,45.48959992974743,1.5773542903375866,0.0,7.94769287109375,2.9660696983337402,0
2001,1,1,12,30,189,778,767,189,778,767,14,28.33527289196087,1010.5424194335938,42.63107035792539,42.043652769897925,1.5031043436804126,0.0,359.39617919921875,2.703684091567993,0
2001,1,1,13,30,195,747,737,187,772,747,13,28.49332680083461,1009.4240112304688,40.79467593684782,43.52963957595993,1.429054077701991,0.0,347.99090576171875,2.6421947479248047,0
2001,1,1,14,30,177,736,655,177,736,655,13,28.163887813563747,1008.7144165039062,41.64510078049391,49.50461271321797,1.3623523122020407,0.0,336.99346923828125,2.9431049823760986,0
2001,1,1,15,30,159,643,494,157,659,500,14,27.41285946083451,1008.5371704101562,44.9771172964259,58.60802007714603,1.3253136351659052,0.0,331.1753234863281,3.443770408630371,0
2001,1,1,16,30,122,515,301,122,515,301,15,26.411790746634153,1008.8090209960938,50.374704079910636,69.61791566467963,1.3136445616382804,0.0,329.89837646484375,3.919189691543579,0
2001,1,1,17,30,63,89,76,58,237,92,16,25.280036770215418,1009.5816040039062,59.38420682013673,81.76032885527495,1.3232389993087172,0.0,330.3608093261719,4.331264495849609,0
2001,1,1,18,30,0,0,0,0,0,0,18,24.855069799756848,1010.247802734375,66.43720677231649,94.59316255090629,1.3432937445198208,0.0,332.3360595703125,4.682181358337402,0
2001,1,1,19,30,0,0,0,0,0,0,18,24.516772770908403,1011.2847290039062,69.11447014502008,107.85716060678295,1.3543643225357365,0.0,336.5739440917969,4.848345756530762,0
2001,1,1,20,30,0,0,0,0,0,0,18,24.314253684064397,1012.0158081054688,69.95058089599266,121.39711836836989,1.346061252978771,0.0,340.4581298828125,4.931768417358398,0
2001,1,1,21,30,0,0,0,0,0,0,18,24.173538642069957,1012.1956176757812,69.99378553954786,135.1086578985858,1.3286280001661464,0.0,344.1222229003906,5.019392013549805,0
2001,1,1,22,30,0,0,0,0,0,0,18,24.07234386374745,1011.8836669921875,69.49547634497824,148.90511789172908,1.3077830191833482,0.0,348.06158447265625,5.032280921936035,0
2001,1,1,23,30,0,0,0,0,0,0,17,24.011340079083084,1011.2885131835938,68.2993391108957,162.64845334596717,1.2888747421955777,0.0,353.04296875,4.895244121551514,0
2001,1,2,0,30,0,0,0,0,0,0,17,23.961696147681096,1011.0005493164062,66.48584773649688,175.06629819429943,1.273458504887648,0.0,359.41058349609375,4.6587910652160645,0
2001,1,2,1,30,0,0,0,0,0,0,16,23.877647391673634,1010.72998046875,64.29927800734995,168.2001491701103,1.2540104257802236,0.0,5.838813781738281,4.436710357666016,0
2001,1,2,2,30,0,0,0,0,0,0,16,23.72332988287866,1010.5415649414062,63.29628193435018,154.60789140850054,1.2272291452742392,0.0,12.438362121582031,4.295661449432373,0
2001,1,2,3,30,0,0,0,0,0,0,16,23.508093756946153,1010.7701416015625,62.959658598616954,140.80593360364506,1.1957000186894966,0.0,17.483924865722656,4.189527988433838,0
2001,1,2,4,30,0,0,0,0,0,0,15,23.3757883288431,1011.2432861328125,62.730387878602926,127.04586975013805,1.1639095975151201,0.0,20.365310668945312,4.100016117095947,0
2001,1,2,5,30,0,0,0,0,0,0,15,23.186028573047736,1011.9612426757812,62.99336533342028,113.42045451872141,1.1349795031111787,0.0,22.854393005371094,4.091157913208008,0
2001,1,2,6,30,0,0,0,0,0,0,15,22.99286511520421,1012.3995361328125,63.691633142258716,100.02227549327294,1.1076569231200781,0.0,26.236167907714844,4.153326034545898,0
2001,1,2,7,30,15,0,15,19,73,23,15,23.07378071333136,1012.9732666015625,61.736964547978445,86.9790245728946,1.079931361880597,0.0,30.626571655273438,4.17954683303833,0
2001,1,2,8,30,107,392,212,101,429,216,12,23.69525757208487,1013.7715454101562,49.72523497308661,74.50348180784266,1.0553930307747306,0.0,34.04609298706055,3.845167875289917,0
2001,1,2,9,30,145,619,427,145,619,427,11,25.293419110846912,1014.4005126953125,42.116840868399436,62.94239657525138,1.0561364782443219,0.0,33.69607162475586,3.40278697013855,0
2001,1,2,10,30,171,719,605,171,719,605,10,26.74002317956723,1014.1495361328125,36.24371528532902,52.91390753582685,1.0634618560192706,0.0,31.559646606445312,2.915928363800049,0
2001,1,2,11,30,185,772,727,185,772,727,9,27.89923861539347,1013.2786254882812,32.06522816538375,45.45465564122321,1.0732026619038046,0.0,24.77880096435547,2.3324739933013916,0
