Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2008,1,1,0,30,0,0,0,0,0,0,19,26.015950521092748,1011.8348388671875,65.97104918807186,175.0649674456389,1.3278066859525772,0.0,355.5090026855469,3.367838144302368,0
2008,1,1,1,30,0,0,0,0,0,0,19,25.763407192431657,1011.0065307617188,66.48838690574843,168.07538563484212,1.3385091691348496,0.0,5.345451354980469,3.2312729358673096,0
2008,1,1,2,30,0,0,0,0,0,0,18,25.478137267176123,1010.700439453125,66.5688633632738,154.49663273115743,1.3430232293984312,0.0,13.5914306640625,3.3859622478485107,0
2008,1,1,3,30,0,0,0,0,0,0,18,25.173476751705493,1010.291015625,66.62923619587065,140.70308286026386,1.337933742851913,0.0,22.942222595214844,3.557861328125,0
2008,1,1,4,30,0,0,0,0,0,0,18,24.77517153768622,1010.7425537109375,67.90962232607349,126.95040885804588,1.3223132511705056,0.0,36.305423736572266,3.58329701423645,0
2008,1,1,5,30,0,0,0,0,0,0,19,23.546280889604873,1012.1793823242188,79.88543266317343,113.26449805623494,1.9416248108020149,0.0,25.526290893554688,3.784960985183716,0
2008,1,1,6,30,0,0,0,0,0,0,19,23.394878067373895,1013.0568237304688,79.92623635926225,99.88193328240602,1.9213375849715733,0.0,29.802169799804688,3.6851561069488525,0
2008,1,1,7,30,17,0,17,19,59,22,19,23.56645070414612,1013.6463012695312,76.7225142051452,86.85799612085289,1.9000991083413408,0.0,31.951496124267578,3.5090887546539307,0
2008,1,1,8,30,102,392,208,102,392,208,17,24.47350495845825,1014.3441162109375,63.34662752892892,74.40757296291756,1.8725097184821857,0.0,28.682456970214844,3.1153767108917236,0
2008,1,1,9,30,148,581,413,148,581,413,14,26.42498270258875,1014.51513671875,48.548067551053634,62.88099086784942,1.8387050991094078,0.0,12.698486328125,2.945358991622925,0
2008,1,1,10,30,175,683,587,175,683,587,12,28.04918920619025,1014.4874877929688,39.132525681941424,52.901009506074885,1.8185183461250827,0.0,353.63262939453125,3.188873529434204,0
2008,1,1,11,30,189,736,706,189,736,706,12,28.882301343222252,1013.6088256835938,35.89349521266292,45.50753531151394,1.8018614466093859,0.0,340.9018249511719,3.5327279567718506,0
2008,1,1,12,30,195,757,757,195,757,757,11,29.15279054033664,1012.2483520507812,34.54073081200562,42.093273222667534,1.7828361007308484,0.0,333.5481262207031,3.827512264251709,0
