Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2002,1,1,0,30,0,0,0,0,0,0,16,23.13554974461175,1013.5634765625,64.5229473071092,175.0611190377751,0.9354254775515942,0.0,20.241539001464844,5.712444305419922,0
2002,1,1,1,30,0,0,0,0,0,0,16,22.81939520609876,1013.278564453125,65.78093595095606,168.00879144694852,0.9290821161329659,0.0,25.091285705566406,5.549720287322998,0
2002,1,1,2,30,0,0,0,0,0,0,16,22.468268940457335,1012.7777099609375,67.01425744037864,154.43764949143457,0.9255609011486897,0.0,29.320194244384766,5.278575897216797,0
2002,1,1,3,30,0,0,0,0,0,0,15,22.10735982929606,1013.1012573242188,68.27856143368723,140.64878976318718,0.9059498844223013,0.0,33.29490280151367,5.006546974182129,0
2002,1,1,4,30,0,0,0,0,0,0,15,21.797028113758074,1013.599365234375,69.26641325096045,126.9002166371204,0.8873300825947192,0.0,37.04825210571289,4.793593883514404,0
2002,1,1,5,30,0,0,0,0,0,0,20,23.02031823561242,1015.4288330078125,86.81657256361405,113.30937848428258,2.11772589299408,0.0,90.53905487060547,4.313225269317627,0
2002,1,1,6,30,0,0,0,0,0,0,20,22.787017714040473,1016.2003784179688,88.69464752462251,99.92277823051539,2.0854556435051017,0.0,94.84905242919922,4.437104225158691,0
2002,1,1,7,30,19,0,19,20,71,24,20,22.89924226334921,1016.8374633789062,85.88388991367366,86.89379400032962,2.0561918838071844,0.0,96.95773315429688,4.431182384490967,0
2002,1,1,8,30,95,430,211,95,430,211,19,24.213899320330597,1017.4317626953125,76.82449932819375,74.4367762056132,2.0327456370136114,0.0,97.6178207397461,4.10376501083374,0
2002,1,1,9,30,159,537,404,135,619,417,19,26.84397872213526,1017.7048950195312,62.33327893724847,62.90103733669509,1.9844505548699154,0.0,99.04508209228516,3.8304800987243652,0
2002,1,1,10,30,158,719,592,158,719,592,15,29.48064381156513,1017.1817016601562,44.024381026393314,52.90804224405537,1.93965165534166,0.0,102.81834411621094,3.698031187057495,0
2002,1,1,11,30,171,771,712,171,771,712,14,30.861399162826046,1016.4872436523438,36.881470627130675,45.496690310303556,1.892998242445231,0.0,101.83735656738281,3.0312271118164062,0
2002,1,1,12,30,176,792,764,176,792,764,13,31.785232524752303,1015.2628784179688,32.53209257910356,42.061523472776955,1.8549476553219912,0.0,98.43910217285156,2.2283995151519775,0
2002,1,1,13,30,174,784,743,174,784,743,11,32.45331488486255,1014.56787109375,28.70700257227256,43.55644919755588,1.8325704018794609,0.0,88.56229400634766,1.4823676347732544,0
2002,1,1,14,30,165,747,650,165,747,650,10,32.603069323331454,1013.9713745117188,26.216503502853406,49.53630903595086,1.8289736822490452,0.0,67.76625061035156,0.9647714495658875,0
