Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19279,-,-,India,18.95,72.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2004,1,1,0,30,0,0,0,0,0,0,19,23.796530496910464,1013.5538940429688,76.65051290288997,175.06324191870672,3.5296803277058633,0.0,321.1435546875,4.387637615203857,0
2004,1,1,1,30,0,0,0,0,0,0,18,23.651747202777244,1013.2975463867188,75.09590884504837,168.07353504101218,3.4367472102718604,0.0,323.5458068847656,4.393862247467041,0
2004,1,1,2,30,0,0,0,0,0,0,18,23.514403834512848,1012.8621826171875,73.98004621677723,154.4953986577397,3.3438208692497575,0.0,327.3232421875,4.251470565795898,0
2004,1,1,3,30,0,0,0,0,0,0,18,23.43122958146745,1012.7601318359375,73.74809566958484,140.70215974118454,3.2505536733227967,0.0,332.9236145019531,4.0712785720825195,0
2004,1,1,4,30,0,0,0,0,0,0,18,23.347372841691993,1013.2478637695312,74.08126827532456,126.94973535269597,3.167787009226184,0.0,340.2532958984375,3.936511993408203,0
2004,1,1,5,30,0,0,0,0,0,0,21,23.793146062320034,1014.7254638671875,87.04911866773348,113.26400353976311,1.5882578154688767,0.0,359.0084228515625,3.64089035987854,0
2004,1,1,6,30,0,0,0,0,0,0,21,23.635228733145937,1015.1494140625,88.97267841332157,99.88168971477599,1.5850858184641277,0.0,4.917335510253906,3.575422525405884,0
2004,1,1,7,30,19,0,19,21,71,24,21,23.70646414263655,1015.7162475585938,87.2609457542921,86.8580405927694,1.5681551097449047,0.0,11.718215942382812,3.3825013637542725,0
2004,1,1,8,30,105,399,213,97,433,214,19,24.822993636758895,1016.6755981445312,70.3537908921149,74.40797635328065,1.538663217501415,0.0,17.33910369873047,2.988114595413208,0
2004,1,1,9,30,138,624,423,138,624,423,15,27.058396100250945,1016.7911376953125,50.63465516535908,62.881845599153934,1.5133167003240304,0.0,13.740074157714844,2.7118279933929443,0
